Name,Gender,Age,Country,HighSchoolName,HighSchoolLocation,HSGA,SAT,GAT,Languages,FirstGenerationCollegeStudent,FinancialAidNeeded,CGPA,CGPA_Category_Predicted
Frederick Freeman,Female,19,Colombia,Reynolds Inc School,Los Angeles,7.0,1388.0,94.0,German,No,Yes,1.98,Average
Michael Wright,Female,19,China,Marshall PLC School,Toronto,9.0,1465.0,86.0,Spanish,No,No,2.65,Good
Jeffrey Allen,Male,19,US,Cooper-Hernandez School,Vancouver,8.0,1500.0,86.0,French,No,Yes,2.97,Good
Katherine Tran,Male,17,India,"Stone, Aguirre and Moore School",Toronto,10.0,1502.0,95.0,Spanish,Yes,Yes,3.07,Excellent
Ryan Rodriguez,Male,19,Indonesia,"Bowers, Smith and Rodriguez School",Cape Town,7.0,1431.0,96.0,English,Yes,No,2.4,Good
Sandra Jones,Female,18,Russia,Bird PLC School,Toronto,9.0,1562.0,97.0,German,Yes,Yes,3.64,Excellent
Alisha Middleton,Male,19,Pakistan,Johnson LLC School,Phoenix,9.0,1527.0,64.0,French,No,Yes,3.04,Excellent
Mr. Henry Green,Female,19,Italy,Moore and Sons School,Tokyo,9.0,1503.0,82.0,Spanish,Yes,No,2.97,Good
Brenda Nelson,Female,19,Egypt,Jones-Gonzalez School,Moscow,9.0,1222.0,90.0,English,No,No,0.42,Poor
Jerome White,Female,17,Nigeria,"Sheppard, Gomez and Francis School",Dubai,9.0,1203.0,90.0,French,No,No,0.24,Poor
Makayla Farmer,Female,18,Spain,"Hayden, Wheeler and Parker School",Houston,9.0,1285.0,84.0,German,Yes,Yes,0.95,Poor
Christopher Fields,Female,17,Brazil,"Coleman, Melton and Joseph School",Chicago,7.0,1465.0,67.0,German,Yes,Yes,2.48,Good
Seth White,Female,18,Argentina,"Villegas, Taylor and Davis School",Berlin,6.0,1364.0,92.0,Spanish,No,Yes,1.74,Average
Kaitlyn Parker,Male,17,Canada,"Jimenez, Peterson and Briggs School",Chicago,10.0,1361.0,89.0,German,No,Yes,1.71,Average
Dawn Smith,Female,18,Argentina,"Lee, Howell and Campbell School",Phoenix,8.0,1554.0,63.0,English,No,Yes,3.28,Excellent
Valerie Holden,Male,17,Bangladesh,Martinez and Sons School,Sydney,9.0,1558.0,79.0,Spanish,Yes,No,3.45,Excellent
Rachel Perez,Female,19,US,"Moore, Davidson and Howard School",Moscow,8.0,1564.0,67.0,Spanish,Yes,Yes,3.41,Excellent
Shannon Perkins,Male,17,Egypt,Walker and Sons School,Berlin,6.0,1326.0,73.0,French,No,Yes,1.23,Average
William Edwards,Male,17,South Korea,"Kim, Kennedy and Black School",Toronto,7.0,1476.0,61.0,Spanish,No,Yes,2.53,Good
Lori Lyons,Male,19,Indonesia,Lucas Group School,Berlin,9.0,1309.0,76.0,Spanish,Yes,No,1.11,Average
Anthony Payne,Male,19,Vietnam,Thomas-Meza School,Dubai,8.0,1276.0,82.0,Spanish,No,No,0.85,Poor
Samantha Hunt,Male,18,Germany,"Jones, Frazier and Vasquez School",Tokyo,7.0,1274.0,85.0,German,No,No,0.85,Poor
Lauren Turner,Male,18,Iran,"Kennedy, Carter and Burch School",Vancouver,8.0,1337.0,87.0,French,No,No,1.46,Average
Rhonda Cole MD,Male,18,Nigeria,Allen Ltd School,Beijing,6.0,1372.0,93.0,German,Yes,No,1.82,Average
Timothy Martin,Male,17,Brazil,"Snow, Schwartz and Drake School",New York,8.0,1532.0,69.0,French,No,Yes,3.13,Excellent
Lance Snyder,Male,18,Nigeria,Mckenzie LLC School,Dubai,7.0,1248.0,65.0,French,No,No,0.44,Poor
Theresa Johnson,Female,17,Canada,Howe-Valencia School,Phoenix,9.0,1494.0,94.0,Spanish,Yes,Yes,2.98,Good
Aaron Long,Male,17,China,Mills and Sons School,Paris,7.0,1413.0,66.0,German,Yes,Yes,1.99,Average
Michelle Glenn,Female,18,Italy,Cameron-Roy School,Tokyo,8.0,1315.0,99.0,English,Yes,No,1.35,Average
Nancy Gordon,Male,18,Argentina,Smith Ltd School,Berlin,6.0,1397.0,94.0,Spanish,No,No,2.06,Good
Wendy Vargas,Female,17,Bangladesh,Smith Inc School,Cape Town,6.0,1320.0,80.0,Spanish,Yes,No,1.23,Average
Eddie Shah,Female,19,Indonesia,"Newman, Cortez and Jones School",Paris,8.0,1438.0,99.0,German,Yes,No,2.5,Good
Edward Wilson,Male,19,Nigeria,"Owens, Harris and Mendoza School",Sydney,8.0,1374.0,64.0,German,Yes,No,1.61,Average
Dean Wallace,Male,17,Indonesia,Garcia-Butler School,Houston,8.0,1266.0,72.0,Spanish,No,Yes,0.67,Poor
Jon Whitehead,Male,18,Vietnam,Wright PLC School,Tokyo,7.0,1247.0,86.0,English,No,No,0.61,Poor
Ricardo Garcia,Male,17,Colombia,Allen-Miranda School,Berlin,9.0,1419.0,74.0,English,Yes,Yes,2.12,Good
Nicholas Mendez,Male,17,Mexico,Lopez-Wolfe School,Houston,9.0,1561.0,97.0,English,No,Yes,3.63,Excellent
Bradley Smith,Female,18,China,"Jones, Gonzalez and Gutierrez School",Houston,9.0,1338.0,63.0,German,Yes,Yes,1.28,Average
Patrick Hodges,Female,19,Iran,Jacobs Group School,Vancouver,6.0,1493.0,82.0,English,Yes,Yes,2.86,Good
Michael Blake,Male,17,South Africa,"Baker, Hill and Jones School",Berlin,8.0,1463.0,84.0,English,Yes,No,2.61,Good
Matthew Reyes,Male,19,Colombia,"Long, Thomas and Acosta School",Berlin,6.0,1573.0,86.0,German,No,No,3.64,Excellent
Daniel Rhodes,Female,19,South Africa,Juarez Ltd School,Moscow,7.0,1528.0,70.0,English,Yes,No,3.09,Excellent
Kathryn Reid,Male,18,Italy,Schroeder and Sons School,Chicago,10.0,1427.0,75.0,English,No,Yes,2.21,Good
Alicia Martin,Male,17,South Korea,Bishop-Mcintosh School,Cape Town,7.0,1463.0,94.0,Spanish,Yes,No,2.68,Good
Michael Knight,Female,17,Nigeria,"Diaz, Russell and Pierce School",Cape Town,8.0,1559.0,68.0,German,No,Yes,3.37,Excellent
Mary Brown,Male,19,Japan,Wright Ltd School,Los Angeles,8.0,1360.0,93.0,English,No,No,1.72,Average
Todd Franco,Female,19,Iran,King Ltd School,London,9.0,1331.0,83.0,German,No,No,1.37,Average
Sean Robinson,Male,18,Turkey,Brown-Lopez School,Sydney,8.0,1204.0,90.0,English,Yes,No,0.24,Poor
Frank Knox,Female,19,Pakistan,Hill Ltd School,Berlin,6.0,1531.0,89.0,English,No,No,3.27,Excellent
Cheryl Lawrence,Male,18,Canada,"Carlson, Henson and Martinez School",Toronto,7.0,1520.0,68.0,French,No,No,3.0,Excellent
Benjamin Cohen,Female,17,Argentina,"Wall, Gilbert and Ibarra School",Los Angeles,8.0,1242.0,83.0,French,No,No,0.54,Poor
Peter Whitaker,Male,18,UK,Lawrence Inc School,Phoenix,6.0,1431.0,95.0,English,No,No,2.39,Good
Gregory Warren,Female,19,Canada,Jackson Inc School,Houston,7.0,1386.0,77.0,German,No,No,1.83,Average
Kevin Hanson,Female,17,Pakistan,Jordan Ltd School,Moscow,6.0,1247.0,99.0,French,Yes,No,0.71,Poor
Vickie Bell,Male,18,Spain,Bryant-Joseph School,Tokyo,6.0,1592.0,78.0,English,Yes,Yes,3.75,Excellent
Philip Hansen,Male,17,Vietnam,Edwards-Williams School,Vancouver,8.0,1286.0,66.0,English,Yes,No,0.81,Poor
Stacey Hall,Female,18,Canada,Martinez-Dean School,Paris,7.0,1227.0,76.0,Spanish,Yes,Yes,0.34,Poor
Aaron Cole,Female,19,Philippines,Dean-Wagner School,Houston,8.0,1438.0,98.0,Spanish,Yes,No,2.49,Good
David Smith,Female,19,Turkey,"Lindsey, Moreno and Stewart School",Moscow,9.0,1496.0,73.0,English,No,Yes,2.83,Good
William Johnson,Male,17,UK,Sims LLC School,Los Angeles,9.0,1213.0,95.0,English,No,No,0.37,Poor
Lisa Morris,Male,17,Mexico,Stephenson PLC School,New York,7.0,1463.0,95.0,German,No,Yes,2.69,Good
Richard Brown,Male,17,South Africa,Walter-Malone School,Sydney,7.0,1413.0,74.0,German,No,Yes,2.05,Good
Ashley Hamilton,Female,18,Egypt,"Gibbs, Cole and Wright School",Dubai,6.0,1241.0,63.0,English,No,Yes,0.36,Poor
Cynthia Myers,Female,19,Spain,"Brown, Bryant and Spears School",Sydney,9.0,1269.0,89.0,French,No,No,0.85,Poor
Jennifer Thompson,Female,17,China,Morton LLC School,Paris,9.0,1427.0,72.0,German,Yes,Yes,2.18,Good
Mr. John Gomez Jr.,Male,17,Egypt,"Hinton, Cole and Thomas School",Berlin,6.0,1319.0,91.0,French,Yes,No,1.31,Average
Derek Davis,Male,17,Colombia,Meadows PLC School,Paris,10.0,1575.0,78.0,Spanish,Yes,No,3.61,Excellent
Dustin Murray,Male,18,Bangladesh,"Torres, Simon and Lara School",Houston,6.0,1527.0,79.0,French,Yes,No,3.15,Excellent
Rachel Blair,Male,17,US,"Brown, Holmes and Smith School",Beijing,8.0,1593.0,91.0,German,Yes,Yes,3.87,Excellent
Billy Dudley,Male,17,China,"Ray, Stewart and Duke School",Houston,9.0,1304.0,75.0,German,No,No,1.06,Average
Chad Gonzalez,Male,18,Germany,"Garcia, Costa and Pruitt School",Vancouver,9.0,1588.0,78.0,German,No,Yes,3.72,Excellent
Michelle Sanchez DDS,Male,18,Philippines,"Martin, Mendez and Smith School",Dubai,9.0,1372.0,75.0,English,Yes,No,1.69,Average
Regina Sandoval,Female,17,China,Solomon-Price School,Dubai,9.0,1339.0,75.0,English,Yes,Yes,1.38,Average
Brian Fowler,Male,17,France,Zimmerman and Sons School,Cape Town,7.0,1220.0,81.0,French,Yes,Yes,0.31,Poor
Renee Sparks,Female,18,India,"Williams, James and Carter School",Chicago,9.0,1221.0,92.0,Spanish,Yes,No,0.42,Poor
Melissa Reed,Male,19,Spain,Gilbert-Adams School,Paris,6.0,1477.0,74.0,English,No,No,2.64,Good
Gail Johnson,Male,18,Germany,Manning Inc School,Chicago,10.0,1383.0,81.0,French,Yes,Yes,1.85,Average
Scott Mcfarland,Male,19,Mexico,Collins-Nguyen School,Sydney,8.0,1291.0,87.0,German,No,Yes,1.03,Average
Sheryl Stafford,Female,17,Germany,Ortiz Ltd School,Tokyo,9.0,1446.0,71.0,Spanish,No,No,2.35,Good
Stephanie Baker,Female,17,Indonesia,"Shelton, Cole and Lawrence School",Beijing,8.0,1301.0,71.0,German,No,Yes,0.99,Poor
Daniel Mason Jr.,Female,19,Philippines,"Garcia, Moore and Newman School",Cape Town,9.0,1431.0,97.0,French,No,No,2.42,Good
Stephanie Diaz,Male,18,Italy,Stone-Hall School,Paris,8.0,1344.0,89.0,Spanish,Yes,Yes,1.54,Average
Haley Brown,Male,17,Nigeria,"Harper, Diaz and Rice School",Beijing,9.0,1529.0,83.0,English,Yes,No,3.22,Excellent
Dennis Edwards,Male,19,Brazil,Sullivan Inc School,Cape Town,6.0,1528.0,86.0,Spanish,No,No,3.22,Excellent
Kathryn Buchanan,Female,18,South Africa,Russell-Anderson School,Beijing,6.0,1391.0,61.0,Spanish,No,Yes,1.74,Average
Samantha Baker,Male,19,Turkey,Dillon-Padilla School,Moscow,7.0,1340.0,85.0,Spanish,No,No,1.46,Average
Kendra Martin,Male,18,Indonesia,Dickerson-Pace School,Tokyo,7.0,1345.0,80.0,English,No,No,1.47,Average
Morgan Ortiz,Female,18,Spain,Lopez and Sons School,Houston,9.0,1522.0,82.0,German,Yes,Yes,3.14,Excellent
Elizabeth Cameron,Male,18,South Korea,Hanson-Anderson School,Phoenix,7.0,1331.0,74.0,German,Yes,Yes,1.29,Average
Tim Benson,Female,18,Iran,"Holmes, Frederick and Davis School",Los Angeles,10.0,1284.0,63.0,German,Yes,Yes,0.78,Poor
John Reyes,Female,19,Indonesia,Lee-Martinez School,Dubai,7.0,1234.0,68.0,English,No,Yes,0.34,Poor
Joseph Davis,Male,19,Turkey,Dean and Sons School,New York,7.0,1387.0,98.0,English,Yes,No,2.01,Average
Devin Jarvis,Female,19,France,Huffman LLC School,Chicago,9.0,1393.0,76.0,French,Yes,No,1.89,Average
Allen Simpson,Female,19,France,Frederick LLC School,Beijing,9.0,1536.0,79.0,German,No,No,3.25,Excellent
Jessica Morrow,Female,19,Colombia,Keller Ltd School,Paris,8.0,1288.0,62.0,German,Yes,Yes,0.8,Poor
Charles Johnson,Female,18,Russia,Henderson-Kerr School,Beijing,8.0,1352.0,62.0,Spanish,Yes,Yes,1.39,Average
Jesse Barrett PhD,Female,17,Japan,Wiggins and Sons School,Toronto,9.0,1523.0,89.0,Spanish,Yes,Yes,3.21,Excellent
Mrs. Sarah Lewis,Male,17,Japan,"Moss, Walsh and Ortiz School",New York,7.0,1529.0,82.0,Spanish,Yes,Yes,3.2,Excellent
Valerie Bennett,Male,19,Egypt,"Kennedy, Carlson and Baxter School",Beijing,10.0,1354.0,80.0,English,No,No,1.57,Average
Karen Lee,Female,19,Spain,"Williams, Macias and Collins School",Berlin,10.0,1384.0,70.0,Spanish,Yes,No,1.77,Average
Robert Hayes,Male,17,Argentina,Lopez-Butler School,Moscow,9.0,1321.0,90.0,Spanish,No,No,1.34,Average
Bradley Kim,Female,18,Canada,Spence-Burns School,Toronto,7.0,1573.0,67.0,French,No,Yes,3.49,Excellent
Tricia Dominguez,Male,19,Argentina,"Johnson, Nelson and Lang School",Los Angeles,9.0,1247.0,68.0,English,No,Yes,0.47,Poor
Sandy Taylor,Female,18,Indonesia,Gomez and Sons School,Berlin,6.0,1573.0,78.0,Spanish,No,No,3.57,Excellent
Thomas Chapman,Female,17,Italy,"Carpenter, Dyer and Jennings School",Beijing,6.0,1474.0,71.0,German,Yes,No,2.59,Good
Dan Stone,Female,17,Japan,Terry and Sons School,London,7.0,1413.0,70.0,English,No,Yes,2.02,Good
Caroline Alexander,Female,19,Indonesia,"Hill, Jackson and Schmidt School",Toronto,8.0,1213.0,86.0,French,No,Yes,0.3,Poor
Teresa Walker,Male,18,Russia,Gordon-Clements School,Dubai,9.0,1390.0,86.0,German,Yes,No,1.95,Average
Tracy Armstrong,Male,19,Italy,"Shepherd, Forbes and Hughes School",Chicago,9.0,1363.0,93.0,English,No,Yes,1.75,Average
Carolyn Smith,Female,17,Thailand,"Mullen, Franco and Jennings School",Dubai,9.0,1264.0,77.0,French,Yes,No,0.7,Poor
Reginald Fuentes,Male,18,Germany,Patel Group School,Cape Town,8.0,1463.0,63.0,German,Yes,Yes,2.43,Good
Dustin Martin,Male,19,Colombia,"Dunlap, Holland and Foster School",Dubai,7.0,1588.0,71.0,English,Yes,Yes,3.66,Excellent
Alexander Kane,Female,19,UK,Herrera-Jackson School,Moscow,7.0,1425.0,99.0,Spanish,Yes,No,2.37,Good
Kevin Johnson,Female,19,Italy,Franco-Mccarty School,Phoenix,10.0,1486.0,84.0,French,No,Yes,2.83,Good
Antonio Clark,Female,17,Spain,Black-Wyatt School,Paris,6.0,1227.0,88.0,Spanish,No,No,0.43,Poor
Scott Clarke,Female,19,Pakistan,Ruiz-Wood School,Vancouver,9.0,1367.0,60.0,French,Yes,Yes,1.52,Average
Sabrina Jackson,Female,18,Bangladesh,"Vaughan, Kennedy and Rosario School",Dubai,8.0,1247.0,81.0,German,Yes,No,0.57,Poor
Darrell Jennings,Female,19,Russia,James-Gray School,Sydney,8.0,1445.0,62.0,French,No,No,2.26,Good
Frank Silva,Male,17,India,Ramirez-Warren School,Chicago,9.0,1575.0,83.0,French,No,No,3.64,Excellent
Martin Hicks,Male,19,China,Day Inc School,Houston,8.0,1465.0,97.0,English,Yes,No,2.73,Good
Kyle Gillespie,Male,17,Egypt,"Parker, Arias and Hickman School",Toronto,9.0,1231.0,99.0,English,No,No,0.57,Poor
Nicholas Williams,Female,17,Canada,Stevenson LLC School,Sydney,10.0,1342.0,82.0,German,No,Yes,1.47,Average
Matthew Harrell,Male,18,Indonesia,"Foster, Miranda and Mitchell School",Vancouver,8.0,1420.0,78.0,English,Yes,No,2.16,Good
Perry Taylor,Male,18,Russia,Bell-Floyd School,London,7.0,1361.0,98.0,French,No,Yes,1.77,Average
Larry Wheeler,Male,19,Australia,Anderson Group School,Vancouver,8.0,1533.0,87.0,French,No,No,3.28,Excellent
Megan Short,Female,17,Colombia,Robinson PLC School,New York,10.0,1526.0,63.0,Spanish,No,No,3.03,Excellent
Bryan Strong,Female,17,Germany,Henry Group School,Chicago,7.0,1445.0,79.0,Spanish,Yes,Yes,2.39,Good
Dr. Teresa Johnson DDS,Male,18,India,"Fox, Stephens and Ward School",Los Angeles,8.0,1349.0,70.0,English,No,Yes,1.43,Average
Richard Campbell,Male,18,Philippines,"Wilson, Ramirez and Woods School",Moscow,9.0,1302.0,79.0,German,Yes,No,1.07,Average
Sherry Jacobs,Male,19,Indonesia,"Combs, Christensen and Price School",Chicago,9.0,1242.0,78.0,French,Yes,No,0.51,Poor
Gary Scott,Female,17,Mexico,"French, Mitchell and Booth School",Phoenix,7.0,1342.0,83.0,Spanish,Yes,No,1.47,Average
Rhonda Crawford,Male,18,Philippines,Jones PLC School,Vancouver,9.0,1365.0,74.0,Spanish,No,Yes,1.62,Average
Timothy Robinson,Female,19,Vietnam,Rivera-Hall School,Vancouver,10.0,1470.0,67.0,German,Yes,Yes,2.54,Good
Stacy Wolf,Female,17,Spain,"Walker, Hernandez and Wilcox School",Beijing,7.0,1463.0,80.0,English,No,No,2.57,Good
Colton Phillips,Female,17,Nigeria,"Spencer, King and Wolf School",Chicago,7.0,1228.0,93.0,English,Yes,No,0.49,Poor
Nathan Miller,Female,18,Bangladesh,Parker-Kim School,Toronto,10.0,1358.0,87.0,Spanish,No,No,1.66,Average
Michelle Stewart,Female,19,Thailand,Miller-Reyes School,London,7.0,1273.0,74.0,German,Yes,Yes,0.75,Poor
Megan Jones,Female,18,Italy,"Daugherty, Burke and Robinson School",London,9.0,1263.0,97.0,French,Yes,Yes,0.86,Poor
Nicole Barber,Female,19,Australia,Jones Group School,Phoenix,8.0,1531.0,96.0,Spanish,No,Yes,3.34,Excellent
Bruce Garcia,Male,17,Italy,Butler-Romero School,Houston,7.0,1217.0,68.0,Spanish,Yes,No,0.18,Poor
Xavier Dawson,Female,19,US,Watts LLC School,Beijing,9.0,1368.0,62.0,German,No,No,1.55,Average
Paul Stein,Female,19,UK,Brown Ltd School,Cape Town,8.0,1267.0,90.0,German,No,Yes,0.83,Poor
Tyler Strong,Male,19,Egypt,Hudson and Sons School,Sydney,8.0,1552.0,93.0,English,No,Yes,3.51,Excellent
Kim Moran,Male,19,Mexico,Green and Sons School,Houston,7.0,1423.0,99.0,English,Yes,Yes,2.35,Good
Andrew Brewer,Female,19,South Korea,Hart-Meyer School,Houston,8.0,1293.0,96.0,French,No,Yes,1.12,Average
Rhonda Ingram,Female,18,Argentina,Smith Group School,London,7.0,1401.0,84.0,Spanish,No,Yes,2.02,Good
John Luna MD,Male,19,India,"Neal, Rodriguez and Anderson School",Dubai,8.0,1493.0,81.0,French,Yes,Yes,2.86,Good
Morgan Navarro,Male,19,Nigeria,Chen-Howard School,Cape Town,10.0,1583.0,61.0,French,Yes,Yes,3.54,Excellent
Annette Turner,Male,17,Australia,"Williams, Roach and Gray School",Vancouver,7.0,1288.0,70.0,French,Yes,No,0.86,Poor
Kyle Arnold,Male,19,Pakistan,Blanchard-Davis School,Phoenix,9.0,1554.0,78.0,Spanish,No,Yes,3.41,Excellent
Mr. Donald Dennis,Female,17,Vietnam,Harris PLC School,Berlin,7.0,1574.0,85.0,Spanish,No,Yes,3.64,Excellent
Joseph Bryan,Female,18,Iran,Burgess-Foster School,Moscow,9.0,1567.0,82.0,Spanish,No,Yes,3.56,Excellent
Justin Roberts,Female,18,Thailand,"Tate, Byrd and Ball School",Sydney,7.0,1454.0,90.0,German,No,Yes,2.57,Good
Jermaine Johnson,Male,19,Indonesia,Scott-Harris School,Berlin,10.0,1452.0,71.0,Spanish,No,No,2.41,Good
George Wilson,Female,18,Iran,"Hernandez, Yates and Harrison School",Tokyo,8.0,1361.0,83.0,German,Yes,Yes,1.65,Average
Monica Patton,Male,19,India,"Turner, Johnson and Franklin School",Cape Town,7.0,1501.0,64.0,English,Yes,No,2.79,Good
Robert Pearson,Male,18,Pakistan,Kennedy-Davis School,New York,6.0,1413.0,77.0,German,No,Yes,2.07,Good
Dr. Nicole Swanson MD,Male,19,Nigeria,Palmer LLC School,Paris,7.0,1471.0,90.0,English,Yes,Yes,2.72,Good
Lindsey Brown,Female,19,China,Sanchez PLC School,Dubai,8.0,1371.0,88.0,German,No,No,1.78,Average
Jack Johnston,Female,17,France,Williams-Hall School,Beijing,7.0,1493.0,100.0,English,No,Yes,3.01,Excellent
Tiffany Williams,Female,17,Colombia,Wilson-Jackson School,Berlin,9.0,1530.0,71.0,German,No,Yes,3.13,Excellent
Natalie Booth,Female,17,Mexico,Murray-Adams School,Beijing,8.0,1259.0,80.0,German,Yes,No,0.67,Poor
Nicole House,Female,17,Spain,Coleman-Douglas School,Vancouver,7.0,1533.0,73.0,German,Yes,No,3.16,Excellent
Beth Johnson,Male,19,South Korea,Steele-Hampton School,Dubai,8.0,1416.0,78.0,German,No,No,2.12,Good
Anna Cooke,Male,18,Thailand,"Simpson, Lee and Soto School",Berlin,9.0,1538.0,94.0,French,Yes,No,3.39,Excellent
Luke Berry,Male,19,Vietnam,"Humphrey, Reed and Shah School",Houston,7.0,1373.0,87.0,Spanish,No,Yes,1.79,Average
Kenneth Wood,Male,17,Brazil,Evans-Benson School,Moscow,7.0,1352.0,95.0,French,No,Yes,1.66,Average
Allen King,Male,17,India,Harvey Inc School,Berlin,6.0,1566.0,68.0,Spanish,No,Yes,3.42,Excellent
Mr. Terry Santiago,Female,18,France,"Cervantes, Lucas and Graham School",London,9.0,1300.0,95.0,English,Yes,Yes,1.18,Average
Linda Hill,Male,17,Iran,"King, Powell and King School",Moscow,9.0,1538.0,62.0,Spanish,No,No,3.13,Excellent
Frederick Parker,Male,19,Argentina,Young PLC School,Houston,8.0,1394.0,96.0,French,Yes,Yes,2.06,Good
Justin Martinez,Female,19,Australia,Barber-Martin School,Cape Town,9.0,1406.0,73.0,English,No,No,1.99,Average
Matthew Frye,Female,19,Australia,Hughes Inc School,Toronto,9.0,1323.0,73.0,French,No,No,1.22,Average
Stephanie Alvarado,Female,19,Russia,Pineda-Dunlap School,Sydney,8.0,1429.0,80.0,German,Yes,No,2.26,Good
Richard Hall,Female,19,Indonesia,Savage-Ford School,Houston,9.0,1330.0,98.0,English,No,No,1.49,Average
Christy Wong,Female,18,Egypt,"Elliott, Leon and Greer School",Beijing,7.0,1216.0,62.0,English,No,Yes,0.12,Poor
Robert Floyd,Male,19,South Africa,"Bell, Johns and Lambert School",London,6.0,1309.0,74.0,French,No,Yes,1.08,Average
Alexander Taylor,Female,17,Thailand,"Hess, Ibarra and Parker School",Toronto,7.0,1203.0,94.0,English,No,No,0.26,Poor
Justin Grant,Male,17,South Africa,"Payne, Carson and Baldwin School",London,6.0,1591.0,76.0,German,No,Yes,3.72,Excellent
Katelyn Smith,Female,17,Vietnam,Myers Group School,Moscow,8.0,1586.0,68.0,French,Yes,No,3.62,Excellent
Joel Rivera,Female,17,Argentina,Parker LLC School,Chicago,10.0,1358.0,77.0,French,Yes,Yes,1.58,Average
Ryan Padilla,Male,18,Turkey,Marks Group School,Vancouver,6.0,1491.0,75.0,Spanish,No,Yes,2.78,Good
Justin Allison,Female,17,Indonesia,Smith Group School,Toronto,6.0,1338.0,97.0,German,Yes,No,1.54,Average
Rachel Jones,Female,18,Germany,Johnson Ltd School,Chicago,8.0,1468.0,90.0,Spanish,Yes,Yes,2.7,Good
Chloe King,Male,17,Japan,Harrison and Sons School,London,10.0,1522.0,80.0,French,No,No,3.13,Excellent
Darren Wong,Female,18,Indonesia,Garza and Sons School,Berlin,7.0,1579.0,100.0,Spanish,No,No,3.81,Excellent
Joshua Baker,Male,18,Colombia,Lopez-Green School,New York,8.0,1360.0,79.0,French,Yes,Yes,1.61,Average
Anthony Newman,Female,18,Philippines,Rubio PLC School,Sydney,6.0,1513.0,62.0,German,Yes,No,2.88,Good
Amy Ross,Female,17,Thailand,Rodriguez-Reed School,Toronto,7.0,1306.0,70.0,German,No,No,1.02,Average
Jeffrey Payne,Female,18,Australia,David-Gallagher School,Moscow,10.0,1596.0,77.0,French,No,Yes,3.8,Excellent
Elizabeth Jacobson,Female,19,Indonesia,Armstrong-Anderson School,Vancouver,10.0,1210.0,66.0,French,Yes,No,0.11,Poor
William Clay,Female,19,UK,Stewart-Gibson School,Los Angeles,6.0,1441.0,98.0,German,Yes,Yes,2.5,Good
Timothy Adams,Male,17,Indonesia,"Foster, Palmer and Duncan School",Beijing,10.0,1464.0,91.0,French,Yes,Yes,2.68,Good
Jennifer Randolph,Female,19,South Africa,Benson-Winters School,Vancouver,9.0,1475.0,71.0,French,Yes,Yes,2.62,Good
Jason Bell,Female,19,Colombia,"Cruz, Glass and Anderson School",Chicago,9.0,1248.0,84.0,Spanish,Yes,No,0.61,Poor
Mark Parker,Female,19,India,Gaines-Young School,Vancouver,8.0,1575.0,89.0,German,Yes,No,3.69,Excellent
Kimberly Howard,Female,17,Japan,White PLC School,Houston,8.0,1272.0,98.0,German,No,No,0.94,Poor
Chase Morgan,Female,17,Germany,Daniels and Sons School,Chicago,8.0,1449.0,95.0,English,No,Yes,2.57,Good
Micheal Harvey,Male,19,Brazil,"Ortiz, Duffy and Garrett School",Moscow,9.0,1289.0,81.0,French,Yes,No,0.97,Poor
Michael Wiggins,Female,17,Pakistan,Greer-Holt School,Beijing,7.0,1323.0,91.0,French,No,No,1.35,Average
Shawn Taylor,Male,18,US,Huffman PLC School,Dubai,6.0,1419.0,82.0,Spanish,No,Yes,2.17,Good
Gregory Curtis,Male,19,Mexico,Mcgee-Horn School,Vancouver,7.0,1367.0,82.0,French,Yes,No,1.69,Average
Terry Johnson,Female,17,Italy,Thomas PLC School,Dubai,9.0,1264.0,65.0,German,No,Yes,0.6,Poor
Michael Lee,Male,17,Russia,Carter PLC School,Cape Town,7.0,1268.0,65.0,German,No,No,0.63,Poor
Kathleen Mcfarland,Female,19,Iran,Wright-Nelson School,New York,9.0,1367.0,81.0,Spanish,Yes,No,1.69,Average
Brian Anderson,Female,17,Spain,"Mccormick, Crosby and Yates School",Houston,10.0,1503.0,71.0,French,No,No,2.88,Good
Shelby Wilkins,Female,19,Russia,"Snyder, Ellis and Lin School",Los Angeles,6.0,1559.0,61.0,Spanish,No,Yes,3.3,Excellent
Tammy Miller,Male,17,UK,"Campbell, Lee and Adams School",Vancouver,9.0,1234.0,89.0,French,No,Yes,0.52,Poor
Jennifer Johnson,Female,18,Russia,Murphy Inc School,Dubai,8.0,1357.0,61.0,English,Yes,Yes,1.43,Average
Melissa Russo,Female,19,South Korea,"Warner, Hall and Hernandez School",Houston,9.0,1240.0,84.0,English,Yes,Yes,0.54,Poor
Tammie Bradley,Female,18,Bangladesh,Huff LLC School,Houston,7.0,1207.0,82.0,English,No,Yes,0.2,Poor
Michael Whitaker,Male,19,Thailand,"Smith, Ross and Diaz School",Phoenix,9.0,1465.0,99.0,German,No,Yes,2.75,Good
Shannon Porter,Male,17,US,Noble LLC School,Chicago,9.0,1441.0,79.0,French,Yes,Yes,2.37,Good
Zachary Franklin,Female,18,South Africa,Lyons Group School,Vancouver,10.0,1265.0,63.0,German,No,No,0.6,Poor
Phillip James,Male,17,Philippines,Archer Inc School,Chicago,9.0,1294.0,82.0,French,No,Yes,1.02,Average
Elijah Herrera,Female,19,South Africa,"Tapia, Brown and Harrison School",Toronto,8.0,1209.0,94.0,English,No,No,0.32,Poor
